"Year","County","Race","Mortality Rate","Births","Deaths"
2011,"ROWAN","Other",0,21,0
2011,"ROWAN","White",5.73065902578797,1047,6
2011,"RUTHERFORD","Black",0,81,0
2011,"RUTHERFORD","Hispanic",0,59,0
2011,"RUTHERFORD","Other",0,6,0
2011,"RUTHERFORD","White",10.8892921960073,551,6
2011,"SAMPSON","Black",35.5329949238579,197,7
2011,"SAMPSON","Hispanic",6.6006600660066,303,2
2011,"SAMPSON","Native American",0,16,0
2011,"SAMPSON","Other",0,7,0
2011,"SAMPSON","White",13.0718954248366,306,4
2011,"SCOTLAND","Black",19.3236714975845,207,4
2011,"SCOTLAND","Hispanic",0,8,0
2011,"SCOTLAND","Native American",0,70,0
2011,"SCOTLAND","Other",0,6,0
2011,"SCOTLAND","White",18.6335403726708,161,3
2011,"STANLY","Black",12.0481927710843,83,1
2011,"STANLY","Hispanic",0,42,0
2011,"STANLY","Native American",0,2,0
2011,"STANLY","Other",0,19,0
2011,"STANLY","White",2.03252032520325,492,1
2011,"STOKES","Black",0,14,0
2011,"STOKES","Hispanic",0,13,0
2011,"STOKES","Other",0,3,0
2011,"STOKES","White",13.6986301369863,365,5
2011,"SURRY","Black",0,34,0
2011,"SURRY","Hispanic",0,137,0
2011,"SURRY","Other",0,13,0
2011,"SURRY","White",11.9453924914676,586,7
2011,"SWAIN","Hispanic",125,8,1
2011,"SWAIN","Native American",13.1578947368421,76,1
2011,"SWAIN","Other",0,1,0
2011,"SWAIN","White",18.1818181818182,110,2
2011,"TRANSYLVANIA","Black",0,6,0
2011,"TRANSYLVANIA","Hispanic",0,22,0
2011,"TRANSYLVANIA","Native American",0,1,0
2011,"TRANSYLVANIA","Other",0,5,0
2011,"TRANSYLVANIA","White",8.81057268722467,227,2
2011,"TYRRELL","Black",0,10,0
2011,"TYRRELL","Hispanic",0,9,0
2011,"TYRRELL","Other",0,1,0
2011,"TYRRELL","White",0,24,0
2011,"UNION","Black",12.5391849529781,319,4
2011,"UNION","Hispanic",15.3508771929825,456,7
2011,"UNION","Native American",0,6,0
2011,"UNION","Other",0,64,0
2011,"UNION","White",0.658327847267939,1519,1
2011,"VANCE","Black",9.3167701863354,322,3
2011,"VANCE","Hispanic",13.3333333333333,75,1
2011,"VANCE","Native American",0,1,0
2011,"VANCE","Other",0,4,0
2011,"VANCE","White",0,161,0
2011,"WAKE","Black",14.9094781682641,2817,42
2011,"WAKE","Hispanic",4.64396284829721,1938,9
2011,"WAKE","Native American",0,33,0
2011,"WAKE","Other",8.45665961945032,946,8
2011,"WAKE","White",4.82363581549593,6634,32
2011,"WARREN","Black",0,89,0
2011,"WARREN","Hispanic",0,14,0
2011,"WARREN","Native American",0,7,0
2011,"WARREN","White",18.5185185185185,54,1
2011,"WASHINGTON","Black",12.5,80,1
2011,"WASHINGTON","Hispanic",0,13,0
2011,"WASHINGTON","White",0,46,0
2011,"WATAUGA","Black",0,7,0
2011,"WATAUGA","Hispanic",0,33,0
2011,"WATAUGA","Native American",0,1,0
2011,"WATAUGA","Other",0,1,0
2011,"WATAUGA","White",3.15457413249211,317,1
2011,"WAYNE","Black",19.4003527336861,567,11
2011,"WAYNE","Hispanic",6.5359477124183,306,2
2011,"WAYNE","Native American",0,4,0
2011,"WAYNE","Other",0,26,0
2011,"WAYNE","White",8.57843137254902,816,7
2011,"WILKES","Black",0,17,0
2011,"WILKES","Hispanic",25.974025974026,77,2
2011,"WILKES","Native American",0,2,0
2011,"WILKES","Other",0,6,0
2011,"WILKES","White",10.6194690265487,565,6
2011,"WILSON","Black",15.1515151515152,462,7
2011,"WILSON","Hispanic",0,197,0
2011,"WILSON","Native American",0,1,0
2011,"WILSON","Other",0,13,0
2011,"WILSON","White",0,325,0
2011,"YANCEY","Black",0,1,0
2011,"YANCEY","Hispanic",0,22,0
2011,"YANCEY","Native American",0,1,0
2011,"YANCEY","White",20.6896551724138,145,3
2012,"ALAMANCE","Black",28.4090909090909,352,10
2012,"ALAMANCE","Hispanic",2.64550264550265,378,1
2012,"ALAMANCE","Native American",0,5,0
2012,"ALAMANCE","Other",0,35,0
2012,"ALAMANCE","White",4.12371134020619,970,4
2012,"ALEXANDER","Black",0,17,0
2012,"ALEXANDER","Hispanic",35.7142857142857,28,1
2012,"ALEXANDER","Native American",0,1,0
2012,"ALEXANDER","Other",0,6,0
2012,"ALEXANDER","White",3.02114803625378,331,1
2012,"ALLEGHANY","Black",0,1,0
2012,"ALLEGHANY","Hispanic",0,16,0
2012,"ALLEGHANY","White",0,68,0
2012,"ANSON","Black",27.7777777777778,144,4
2012,"ANSON","Hispanic",0,7,0
2012,"ANSON","Native American",0,1,0
2012,"ANSON","Other",0,3,0
2012,"ANSON","White",0,86,0
2012,"ASHE","Hispanic",0,21,0
2012,"ASHE","Other",0,1,0
2012,"ASHE","White",8.58369098712446,233,2
2012,"AVERY","Black",0,1,0
2012,"AVERY","Hispanic",0,11,0
2012,"AVERY","Native American",0,1,0
2012,"AVERY","White",7.69230769230769,130,1
2012,"BEAUFORT","Black",7.40740740740741,135,1
2012,"BEAUFORT","Hispanic",0,80,0
2012,"BEAUFORT","Native American",0,1,0
2012,"BEAUFORT","Other",0,2,0
2012,"BEAUFORT","White",10.5633802816901,284,3
2012,"BERTIE","Black",24.7933884297521,121,3
2012,"BERTIE","Hispanic",0,6,0
2012,"BERTIE","Native American",0,1,0
2012,"BERTIE","Other",0,1,0
2012,"BERTIE","White",0,47,0
2012,"BRUNSWICK","Black",24.390243902439,123,3
2012,"BRUNSWICK","Hispanic",0,89,0
2012,"BRUNSWICK","Native American",0,4,0
2012,"BRUNSWICK","Other",0,14,0
2012,"BRUNSWICK","White",8.89453621346887,787,7
2012,"BUNCOMBE","Black",4.58715596330275,218,1
2012,"BUNCOMBE","Hispanic",3.81679389312977,262,1
2012,"BUNCOMBE","Native American",0,6,0
2012,"BUNCOMBE","Other",0,69,0
2012,"BUNCOMBE","White",5.38687561214496,2042,11
2012,"BURKE","Black",0,39,0
2012,"BURKE","Hispanic",0,115,0
2012,"BURKE","Native American",0,2,0
2012,"BURKE","Other",0,57,0
2012,"BURKE","White",6.06060606060606,660,4
2012,"CABARRUS","Black",12.4688279301746,401,5
2012,"CABARRUS","Hispanic",2.59067357512953,386,1
2012,"CABARRUS","Native American",0,7,0
2012,"CABARRUS","Other",0,98,0
2012,"CABARRUS","White",2.93255131964809,1364,4
2012,"CALDWELL","Black",0,41,0
2012,"CALDWELL","Hispanic",0,56,0
2012,"CALDWELL","Native American",0,1,0
2012,"CALDWELL","Other",0,6,0
2012,"CALDWELL","White",8.87573964497041,676,6
2012,"CAMDEN","Black",0,5,0
2012,"CAMDEN","Hispanic",0,1,0
2012,"CAMDEN","White",0,44,0
2012,"CARTERET","Black",0,31,0
2012,"CARTERET","Hispanic",0,47,0
2012,"CARTERET","Native American",0,1,0
2012,"CARTERET","Other",0,11,0
2012,"CARTERET","White",9.86193293885602,507,5
2012,"CASWELL","Black",0,38,0
2012,"CASWELL","Hispanic",0,15,0
2012,"CASWELL","White",0,118,0
2012,"CATAWBA","Black",10.752688172043,186,2
2012,"CATAWBA","Hispanic",0,279,0
2012,"CATAWBA","Native American",0,1,0
2012,"CATAWBA","Other",7.19424460431655,139,1
2012,"CATAWBA","White",2.47729149463254,1211,3
2012,"CHATHAM","Black",0,49,0
2012,"CHATHAM","Hispanic",10.1522842639594,197,2
2012,"CHATHAM","Native American",0,3,0
2012,"CHATHAM","Other",0,12,0
2012,"CHATHAM","White",5.89970501474926,339,2
2012,"CHEROKEE","Black",0,1,0
2012,"CHEROKEE","Hispanic",0,8,0
2012,"CHEROKEE","Native American",0,2,0
2012,"CHEROKEE","Other",0,3,0
2012,"CHEROKEE","White",5.20833333333333,192,1
2012,"CHOWAN","Black",0,64,0
2012,"CHOWAN","Hispanic",0,10,0
2012,"CHOWAN","Other",0,1,0
2012,"CHOWAN","White",15.3846153846154,65,1
2012,"CLAY","Hispanic",0,8,0
2012,"CLAY","Native American",0,1,0
2012,"CLAY","Other",0,1,0
2012,"CLAY","White",0,74,0
2012,"CLEVELAND","Black",22.3880597014925,268,6
2012,"CLEVELAND","Hispanic",19.6078431372549,51,1
2012,"CLEVELAND","Other",0,15,0
2012,"CLEVELAND","White",1.33689839572193,748,1
2012,"COLUMBUS","Black",0,225,0
2012,"COLUMBUS","Hispanic",31.7460317460317,63,2
2012,"COLUMBUS","Native American",0,29,0
2012,"COLUMBUS","Other",0,3,0
2012,"COLUMBUS","White",0,299,0
2012,"CRAVEN","Black",6.5359477124183,306,2
2012,"CRAVEN","Hispanic",6.62251655629139,151,1
2012,"CRAVEN","Native American",0,10,0
2012,"CRAVEN","Other",0,74,0
2012,"CRAVEN","White",11.2570356472795,1066,12
2012,"CUMBERLAND","Black",15.2008686210641,1842,28
2012,"CUMBERLAND","Hispanic",5.6980056980057,702,4
2012,"CUMBERLAND","Native American",0,79,0
2012,"CUMBERLAND","Other",4.76190476190476,210,1
2012,"CUMBERLAND","White",3.77216144851,2651,10
2012,"CURRITUCK","Black",0,7,0
2012,"CURRITUCK","Hispanic",0,5,0
2012,"CURRITUCK","Native American",0,1,0
2012,"CURRITUCK","Other",0,1,0
2012,"CURRITUCK","White",24.390243902439,82,2
2012,"DARE","Black",0,14,0
2012,"DARE","Hispanic",0,62,0
2012,"DARE","Other",0,2,0
2012,"DARE","White",7.49063670411985,267,2
2012,"DAVIDSON","Black",47.9041916167665,167,8
2012,"DAVIDSON","Hispanic",9.56937799043062,209,2
2012,"DAVIDSON","Native American",0,6,0
2012,"DAVIDSON","Other",23.2558139534884,43,1
2012,"DAVIDSON","White",9.70873786407767,1236,12
2012,"DAVIE","Black",0,19,0
2012,"DAVIE","Hispanic",0,45,0
2012,"DAVIE","Other",0,5,0
2012,"DAVIE","White",5.93471810089021,337,2
2012,"DUPLIN","Black",18.0722891566265,166,3
2012,"DUPLIN","Hispanic",3.584229390681,279,1
2012,"DUPLIN","Native American",0,3,0
2012,"DUPLIN","Other",0,4,0
